province,year,total/ten_thousand,urban/ten_thousand,rural/ten_thousand,birth_rate,death_rate,location
Fujian,2015,"3,839","2,403","1,436",13.9,6.1,East
Jiangxi,2015,"4,566","2,357","2,209",13.2,6.24,Middle
Shandong,2015,"9,847","5,614","4,233",12.55,6.67,East
Henan,2015,"9,480","4,441","5,039",12.7,7.05,Middle
Hubei,2015,"5,852","3,327","2,525",10.74,5.83,Middle
Hunan,2015,"6,783","3,452","3,331",13.58,6.86,Middle
Guangdong,2015,"10,849","7,454","3,395",11.12,4.32,East
Guangxi,2015,"4,796","2,257","2,539",14.05,6.15,West
Hainan,2015,911,502,409,14.57,6,East
Chongqing,2015,"3,017","1,838","1,178",11.05,7.19,West
Sichuan,2015,"8,204","3,912","4,292",10.3,6.94,West
Guizhou,2015,"3,530","1,483","2,047",13,7.2,West
Yunnan,2015,"4,742","2,055","2,687",12.88,6.48,West
Tibet,2015,324,90,234,15.75,5.1,West
Shaanxi,2015,"3,793","2,045","1,748",10.1,6.28,West
Gansu,2015,"2,600","1,123","1,477",12.36,6.15,West
Qinghai,2015,588,296,292,14.72,6.17,West
Ningxia,2015,668,369,299,12.62,4.58,West
Xinjiang,2015,"2,360","1,115","1,245",15.59,4.51,West
Beijing,2014,"2,152","1,858",294,9.75,4.92,East
Tianjin,2014,"1,517","1,248",269,8.19,6.05,East
Hebei,2014,"7,384","3,642","3,741",13.18,6.23,East
Shanxi,2014,"3,648","1,962","1,686",10.92,5.93,Middle
Inner Mongolia,2014,"2,505","1,491","1,014",9.31,5.75,West
Liaoning,2014,"4,391","2,944","1,447",6.49,6.23,Northeast
Jilin,2014,"2,752","1,509","1,244",6.62,6.22,Northeast
Heilongjiang,2014,"3,833","2,224","1,609",7.37,6.46,Northeast
Shanghai,2014,"2,426","2,173",252,8.35,5.21,East
Jiangsu,2014,"7,960","5,191","2,769",9.45,7.02,East
Zhejiang,2014,"5,508","3,573","1,935",10.51,5.51,East
Anhui,2014,"6,083","2,990","3,093",12.86,5.89,Middle
Fujian,2014,"3,806","2,352","1,454",13.7,6.2,East
Jiangxi,2014,"4,542","2,281","2,261",13.24,6.26,Middle
Shandong,2014,"9,789","5,385","4,404",14.23,6.84,East
Henan,2014,"9,436","4,265","5,171",12.8,7.02,Middle
Hubei,2014,"5,816","3,238","2,578",11.86,6.96,Middle
Hunan,2014,"6,737","3,320","3,417",13.52,6.89,Middle
Guangdong,2014,"10,724","7,292","3,432",10.8,4.7,East
Guangxi,2014,"4,754","2,187","2,567",14.07,6.21,West
Hainan,2014,903,486,418,14.56,5.95,East
Chongqing,2014,"2,991","1,783","1,209",10.67,7.05,West
Sichuan,2014,"8,140","3,769","4,371",10.22,7.02,West
Guizhou,2014,"3,508","1,404","2,104",12.98,7.18,West
Yunnan,2014,"4,714","1,967","2,747",12.65,6.45,West
Tibet,2014,318,82,236,15.76,5.21,West
Shaanxi,2014,"3,775","1,985","1,791",10.13,6.26,West
Gansu,2014,"2,591","1,080","1,511",12.21,6.11,West
Qinghai,2014,583,290,293,14.67,6.18,West
Ningxia,2014,662,355,307,13.1,4.53,West
Xinjiang,2014,"2,298","1,059","1,240",16.44,4.97,West
Beijing,2013,"2,115","1,825",290,8.93,4.52,East
Tianjin,2013,"1,472","1,207",265,8.28,6,East
Hebei,2013,"7,333","3,528","3,804",13.04,6.87,East
Shanxi,2013,"3,630","1,908","1,722",10.81,5.57,Middle
Inner Mongolia,2013,"2,498","1,466","1,031",8.98,5.62,West
Liaoning,2013,"4,390","2,917","1,473",6.09,6.12,Northeast
Jilin,2013,"2,751","1,491","1,260",5.36,5.04,Northeast
Heilongjiang,2013,"3,835","2,201","1,634",6.86,6.08,Northeast
Shanghai,2013,"2,415","2,164",251,8.18,5.24,East
Jiangsu,2013,"7,939","5,090","2,849",9.44,7.01,East
Zhejiang,2013,"5,498","3,519","1,979",10.01,5.45,East
Anhui,2013,"6,030","2,886","3,144",12.88,6.06,Middle
Fujian,2013,"3,774","2,293","1,481",12.2,6.01,East
Jiangxi,2013,"4,522","2,210","2,312",13.19,6.28,Middle
Shandong,2013,"9,733","5,232","4,502",11.41,6.4,East
Henan,2013,"9,413","4,123","5,290",12.27,6.76,Middle
Hubei,2013,"5,799","3,161","2,638",11.08,6.15,Middle
Hunan,2013,"6,691","3,209","3,482",13.5,6.96,Middle
Guangdong,2013,"10,644","7,212","3,432",10.71,4.69,East
Guangxi,2013,"4,719","2,115","2,604",14.28,6.35,West
Hainan,2013,895,472,423,14.59,5.9,East
Chongqing,2013,"2,970","1,733","1,237",10.37,6.77,West
Sichuan,2013,"8,107","3,640","4,467",9.9,6.9,West
Guizhou,2013,"3,502","1,325","2,177",13.05,7.15,West
Yunnan,2013,"4,687","1,897","2,789",12.6,6.43,West
